REF_START	REF_END	QUERY_START	QUERY_END	REF_LENGTH	QUERY_LENGTH	IDENTITY	REF_NAME	QUERY_NAME
127564	127945	127320	127686	382	367	46.4	VFCIXIUS	VFCIXPIL
128099	128654	127682	128231	556	550	50.5	VFCIXIUS	VFCIXPIL
128653	128944	128236	128542	292	307	43.5	VFCIXIUS	VFCIXPIL
129352	129928	128914	129451	577	538	41.0	VFCIXIUS	VFCIXPIL
29942	30929	31638	32286	988	649	29.1	VFCIXIUS	VFCIXPIL
34768	37000	37769	40007	2233	2239	42.7	VFCIXIUS	VFCIXPIL
37241	37979	40237	40981	739	745	27.5	VFCIXIUS	VFCIXPIL
37975	39088	41132	42326	1114	1195	41.8	VFCIXIUS	VFCIXPIL
39797	39065	43110	42306	733	805	48.1	VFCIXIUS	VFCIXPIL
55899	56943	56292	57360	1045	1069	45.5	VFCIXIUS	VFCIXPIL
66213	66762	65820	66447	550	628	63.3	VFCIXIUS	VFCIXPIL
67999	68827	102357	101262	829	1096	23.3	VFCIXIUS	VFCIXPIL
79074	78711	74351	74000	364	352	50.5	VFCIXIUS	VFCIXPIL
79255	79066	74529	74343	190	187	46.6	VFCIXIUS	VFCIXPIL
84549	85266	81066	81894	718	829	54.2	VFCIXIUS	VFCIXPIL
85249	86332	81897	83010	1084	1114	36.2	VFCIXIUS	VFCIXPIL
90162	88890	87769	86500	1273	1270	35.2	VFCIXIUS	VFCIXPIL
93276	94617	91042	92323	1342	1282	36.8	VFCIXIUS	VFCIXPIL
94613	96419	92319	94173	1807	1855	47.1	VFCIXIUS	VFCIXPIL
107050	106042	110659	109654	1009	1006	35.9	VFCIXIUS	VFCIXPIL
110047	107782	113154	110961	2266	2194	38.4	VFCIXIUS	VFCIXPIL
110670	110043	113870	113204	628	667	43.0	VFCIXIUS	VFCIXPIL
112684	110656	115872	115128	2029	745	30.9	VFCIXIUS	VFCIXPIL
112699	113134	115903	116308	436	406	48.4	VFCIXIUS	VFCIXPIL
115032	114243	134713	135151	790	439	32.5	VFCIXIUS	VFCIXPIL
115272	115032	116570	116324	241	247	61.5	VFCIXIUS	VFCIXPIL
130257	130689	129796	130222	433	427	38.6	VFCIXIUS	VFCIXPIL
130675	131083	130215	130629	409	415	38.9	VFCIXIUS	VFCIXPIL
131057	131288	130621	130840	232	220	40.6	VFCIXIUS	VFCIXPIL
131288	131402	130836	130950	115	115	59.4	VFCIXIUS	VFCIXPIL
131398	131764	130946	131300	367	355	42.4	VFCIXIUS	VFCIXPIL
131753	132107	131376	131721	355	346	47.8	VFCIXIUS	VFCIXPIL
132106	132658	131726	132308	553	583	30.0	VFCIXIUS	VFCIXPIL
135317	134102	134653	133504	1216	1150	44.4	VFCIXIUS	VFCIXPIL
48733	47398	47464	46024	1336	1441	38.1	VFCIXIUS	VFCIXPIL
49730	51062	50411	51839	1333	1429	35.8	VFCIXIUS	VFCIXPIL
51296	54329	52075	55129	3034	3055	39.0	VFCIXIUS	VFCIXPIL
54668	55445	55493	56291	778	799	28.29	VFCIXIUS	VFCIXPIL
96750	98346	95156	96752	1597	1597	50.8	VFCIXIUS	VFCIXPIL
98345	99647	98596	99925	1303	1330	33.1	VFCIXIUS	VFCIXPIL
100812	100947	102948	103083	136	136	66.6	VFCIXIUS	VFCIXPIL
102688	101620	105298	104266	1069	1033	34.49	VFCIXIUS	VFCIXPIL
104624	102680	107113	105301	1945	1813	63.1	VFCIXIUS	VFCIXPIL
104886	104589	107599	107179	298	421	50.5	VFCIXIUS	VFCIXPIL
105036	106056	108671	109652	1021	982	42.1	VFCIXIUS	VFCIXPIL
2308	2797	2288	2750	490	463	24.2	VFCIXPIL	VFCIXNER
2762	3113	2736	3117	352	382	31.6	VFCIXPIL	VFCIXNER
3055	6988	3117	6666	3934	3550	38.3	VFCIXPIL	VFCIXNER
6984	10938	6676	10561	3955	3886	40.1	VFCIXPIL	VFCIXNER
10925	11303	10526	10913	379	388	79.1	VFCIXPIL	VFCIXNER
11321	11792	10909	11383	472	475	41.4	VFCIXPIL	VFCIXNER
11793	13881	11382	13455	2089	2074	54.8	VFCIXPIL	VFCIXNER
13877	14180	13441	13765	304	325	37.8	VFCIXPIL	VFCIXNER
17191	16024	19069	17974	1168	1096	35.6	VFCIXPIL	VFCIXNER
17621	17228	19561	19171	394	391	43.8	VFCIXPIL	VFCIXNER
17971	17617	19866	19557	355	310	34.59	VFCIXPIL	VFCIXNER
19748	18947	20686	19849	802	838	38.8	VFCIXPIL	VFCIXNER
26182	25621	25160	24524	562	637	34.2	VFCIXPIL	VFCIXNER
27437	28556	25487	26636	1120	1150	39.7	VFCIXPIL	VFCIXNER
29910	28581	28062	26712	1330	1351	42.3	VFCIXPIL	VFCIXNER
30648	29958	28984	28051	691	934	39.2	VFCIXPIL	VFCIXNER
31534	30631	29870	28946	904	925	40.2	VFCIXPIL	VFCIXNER
37769	40007	34597	36820	2239	2224	42.2	VFCIXPIL	VFCIXNER
40237	40981	37027	37756	745	730	29.1	VFCIXPIL	VFCIXNER
41132	42326	37752	38853	1195	1102	40.3	VFCIXPIL	VFCIXNER
43110	42306	39559	38830	805	730	47.7	VFCIXPIL	VFCIXNER
47464	46024	48536	47213	1441	1324	35.6	VFCIXPIL	VFCIXNER
50411	51839	49534	50866	1429	1333	37.0	VFCIXPIL	VFCIXNER
52075	55129	51114	54111	3055	2998	38.4	VFCIXPIL	VFCIXNER
56292	57360	55686	56736	1069	1051	42.8	VFCIXPIL	VFCIXNER
65820	66447	65954	66503	628	550	63.9	VFCIXPIL	VFCIXNER
74529	74343	79009	78781	187	229	46.5	VFCIXPIL	VFCIXNER
81066	81894	84273	84990	829	718	55.5	VFCIXPIL	VFCIXNER
81897	83010	85019	86087	1114	1069	36.6	VFCIXPIL	VFCIXNER
87769	86500	90101	88841	1270	1261	35.0	VFCIXPIL	VFCIXNER
87950	87761	90558	90117	190	442	40.0	VFCIXPIL	VFCIXNER
91042	92323	93247	94576	1282	1330	35.4	VFCIXPIL	VFCIXNER
92319	94173	94572	96381	1855	1810	46.7	VFCIXPIL	VFCIXNER
94875	95157	96450	96711	283	262	32.5	VFCIXPIL	VFCIXNER
95156	96752	96710	98300	1597	1591	51.7	VFCIXPIL	VFCIXNER
98596	99925	98299	99598	1330	1300	32.5	VFCIXPIL	VFCIXNER
115872	115128	112550	110528	745	2023	31.7	VFCIXPIL	VFCIXNER
115903	116308	112559	112997	406	439	51.8	VFCIXPIL	VFCIXNER
116570	116324	115135	114901	247	235	63.3	VFCIXPIL	VFCIXNER
117671	116870	116146	115438	802	709	30.1	VFCIXPIL	VFCIXNER
123351	123762	122473	122983	412	511	44.4	VFCIXPIL	VFCIXNER
123765	124296	122975	123563	532	589	39.3	VFCIXPIL	VFCIXNER
124518	125328	123767	124592	811	826	59.0	VFCIXPIL	VFCIXNER
125324	125606	124581	124863	283	283	63.7	VFCIXPIL	VFCIXNER
125924	126545	125199	125811	622	613	38.3	VFCIXPIL	VFCIXNER
126534	126951	125844	126249	418	406	40.0	VFCIXPIL	VFCIXNER
127320	127686	126571	126952	367	382	45.6	VFCIXPIL	VFCIXNER
127682	128231	127116	127671	550	556	49.7	VFCIXPIL	VFCIXNER
128236	128542	127672	127963	307	292	41.5	VFCIXPIL	VFCIXNER
128541	128922	127973	128363	382	391	38.2	VFCIXPIL	VFCIXNER
128914	129451	128359	128959	538	601	37.1	VFCIXPIL	VFCIXNER
134653	133504	134330	133157	1150	1174	44.6	VFCIXPIL	VFCIXNER
102948	103083	100771	100912	136	142	64.1	VFCIXPIL	VFCIXNER
105298	104266	102609	101559	1033	1051	34.89	VFCIXPIL	VFCIXNER
107113	105301	104545	102601	1813	1945	63.0	VFCIXPIL	VFCIXNER
108671	109652	104808	105825	982	1018	40.69	VFCIXPIL	VFCIXNER
110659	109654	106866	105855	1006	1012	36.0	VFCIXPIL	VFCIXNER
113154	110961	109907	107582	2194	2326	37.4	VFCIXPIL	VFCIXNER
113870	113204	110542	109903	667	640	39.5	VFCIXPIL	VFCIXNER
129447	129807	128959	129298	361	340	37.5	VFCIXPIL	VFCIXNER
129796	130222	129290	129734	427	445	38.1	VFCIXPIL	VFCIXNER
130215	130629	129711	130116	415	406	40.89	VFCIXPIL	VFCIXNER
130621	130840	130093	130318	220	226	40.6	VFCIXPIL	VFCIXNER
130836	130950	130321	130435	115	115	56.69	VFCIXPIL	VFCIXNER
130946	131300	130431	130794	355	364	44.7	VFCIXPIL	VFCIXNER
131376	131721	130783	131137	346	355	50.4	VFCIXPIL	VFCIXNER
